用户ID,评论内容,会员级别,点赞数,回复数,得分,购买时间,手机型号
12864050611,华为很满意，妹没刚高考结束，手机颜值很好，像素一般，运行很快。先用用再追评吧。手机包装角磕了一下，还好手机没事。,银牌会员,8,3,5,09/06/2019 10:41,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12824439367,非常满意，比我预想的要好。麒麟980处理器加持，水滴屏，后置徕卡摄像头，能放大30倍，非常喜欢。系统很流畅，打游戏目前觉得基本不卡顿，界面也好看。屏下指纹速度也很快，40w快充，充电速度非常快，屏幕是OLED的，显示效果不错,PLUS会员,3,7,5,31/05/2019 09:14,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12661194859,"很nice的一款手机，对这个手机的细节设计很满意
外观出众，我始终待见这种极光蓝，觉得天空之境浅，欣赏不了那种美
机器流畅，同事说麒麟970的处理器，用一年已经很卡了，我这个980希望能破局。手机内部快捷设置很好用，非常人性化，站在用户角度想问题，给我很好的体验感，因为我刚从OP过来，前两代手机都是OP的，对华为的细节表示非常满意。
尺寸合适。很适合我的手型，出厂送我一个手机膜，担心后面再也用不到这样舒服的软模了，如果有这样的模链接最好不过了，屏幕解锁用这个软膜成功率还是蛮高的，偶尔也会失灵，不过不太影响体验，毕竟还有面部识别功能可用。
拍照很好。跟宣传的一样，30倍的，用着完全满足我的需求，平常也不咋拍照，不做过多评论，相信有空间让我挖掘。
目前来讲手机如果打10分的话，针对我当下的体验，这个手机给9.5，其他手机（我用过的）9分以下。在补充一句，有这种国产手机，搞不懂为啥还买苹果。",PLUS会员,59,36,5,17/04/2019 22:04,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12795587610,"nice，手感好，颜值棒。天空之境厚骚气澎湃。拍照挺好的，对于我这种不会的，ai自动调整还是很好用的。华为加油＾０＾~
希望下次能有2K屏幕，立体声这些功能。",金牌会员,18,9,5,23/05/2019 15:09,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12729278579,用了，一个星期了，之前用的是vivo x 7 plus，很大个现在用这个，小的刚刚好，觉得挺方便的！拍照夜景也很清晰！其实应该有很多功能还不会用，其他的也不好做评论，继续用用看吧，,PLUS会员,34,14,5,05/05/2019 21:01,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12712544184,运用起来还是可以的，打游戏也非常可以，画质非常清昕，拍照放大好几倍，都是非常清楚的，不会有一点模糊自带的充电器充电非常快，一个中午能充一半的，打几局王者，只耗6%的电，是不充电的情况下。,注册会员,42,9,5,01/05/2019 09:15,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12706521753,第一次用hw手机，确实惊艳到我了，续航非常强，我不打游戏，就刷刷贴吧，100的电够我妥妥用两天，拍照也很强，屏幕指纹也很好用。为了这个颜色等了好久，还是很值得的。,PLUS会员,53,9,5,29/04/2019 14:57,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12641427022,欧发布会结束就预定了，昨天开始付尾款，今天早上就拿到了，开箱就惊艳了时光，天空之境确实漂亮，你值得拥有。把旧手机的数据才克隆过来，小玩了半天，玩没电之后不到一个半小时就充满了，各项都还行，完美。,钻石会员,112,42,5,12/04/2019 16:40,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12707441494,手机屏幕大，显示效果很好，清晰、细腻。内存大，运行速度反应快，不卡顿。拍照效果同样是很清晰，不模糊，信号很佳，通话清晰响亮，综合性都是非常好的一款手机,PLUS会员,3,2,5,29/04/2019 18:57,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12727607467,等这个白色等了很久了，终于有货了，超级好看这个白色，粉**白的，手机界面很好上手，性能不错，划屏很快，照相功能很强大，手感也很好。,铜牌会员,21,6,5,05/05/2019 13:56,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
